# T(K) V(AA^3)
299.845907 82.379590
431.587072 82.821801
448.690295 82.854984
833.282032 84.230696
843.451581 84.276364
853.620989 84.322049
861.941567 84.349468
871.186560 84.404324
881.355968 84.422614
889.676547 84.477501
901.694925 84.532412
913.713444 84.550721
923.882993 84.596505
946.070920 84.688122
972.881485 84.798151
